code, width, action, veg, votes, height
x14*z<o>4z,19,sell,Sprout,465,   1.88
j18*v<q>8l,6,buy,Leek,482,   1.94
c39*a<n>3b,8,sell,Parsnip,2208,   1.52
t42*g<f>5l,9,sell,Pea,2266,   1.83
m82*w<a>2z,7,buy,Turnip,2754,   2.01
a88*a<x>1u,23,sell,Leek,2985,   1.82
r68*w<p>7g,9,sell,Parsnip,2932,   2.04
i49*m<n>2j,9,buy,Carrot,183,   2.08
x03*n<g>8r,12,sell,Corn,2323,   2.09
e31*i<b>5f,11,sell,Onion,400,   1.19
f23*o<m>2n,24,buy,Okra,1643,   1.88
o09*v<j>8x,10,sell,Okra,2734,   1.90
x86*n<g>8e,12,sell,Marrow,2078,   1.86
y63*q<jb8y,23,sell,Sprout,2787,   1.93
a91*y<w>6e,11,sell,Leek,1897,   2.10
w70*z<h>1n,18,buy,Potato,2064,   1.99
l07*w<u>6x,23,sell,Corn,2657,   1.85
f15*a<f>3j,12,sell,Cabbage,187,   1.91
s37*u<t>7v,6,sell,Leek,1743,   2.14
a19*k<O>5b,7,sell,Parsnip,1018,   1.59
h69*z<c>5o,18,sell,Marrow,1290,   1.95
k68*p<h>2r,5,sell,Kale,1899,   1.89
p68*b4u>7c,6,sell,Sprout,2201,   1.57
a19*r<p>0r,12,sell,Parsnip,652,   0.88
r30*ghm>8s,14,sell,Parsnip,199,   1.87
w41*e<v>9r,8,sell,Marrow,2643,   1.88
s82*e<f>2b,5,buy,Marrow,270,   1.07
j43*t<l>6c,12,sell,Turnip,371,   2.14
m94*k<i>6t,6,sell,Parsnip,2164,   1.05
z13*p<v>4l,10,sell,Sprout,2006,   1.17
k71*k<b>2t,11,sell,Carrot,1085,   2.08
z37*b<x>2y,6,sell,Corn,2116,   2.04
c71*l<k>5m,12,sell,Okra,2102,   1.94
m13*d<c>5s,10,sell,Potato,1167,   1.90
x17*x<e>9z,7,sell,Marrow,1589,   2.11
k85*l<i>5w,16,buy,Corn,2232,   1.95
m17*r<a>8q,19,buy,Kale,813,   2.06
q53*n<y>1u,24,sell,Cabbage,2198,   2.04
y13*h<q>eo,11,buy,Marrow,2753,   1.82
x10*y<o>9i,7,sell,Pea,1506,   2.05
z00*e<d>0h,19,buy,Squash,822,   1.55
o79*w<w>6b,11,sell,Kale,622,   2.04
y13*a<f>4d,11,buy,Kale,1539,   2.14
e94*i<e>5m,9,sell,Parsnip,2000,   0.98
y48*m<c>5a,6,buy,Kale,2850,   1.98
n60*t<m>7f,12,sell,Yam,2505,   1.82
w34*i<x>5b,6,sell,Squash,2268,   2.02
e85*h<l>2s,8,sell,Leek,2133,   1.90
t57*l<c>8e,8,sell,Kale,2399,   1.82
a77*c<u>5q,5,sell,Yam,1676,   2.04
o16*j<c>0q,9,sell,Okra,1940,   1.95
g02*x<p>8u,8,sell,Okra,710,   1.89
k35ok<q>2d,10,sell,Kale,2128,   1.55
v75*l<i>0z,11,buy,Cabbage,2328,   1.71
e51*o<j>1d,11,sell,Marrow,1163,   1.19
i64*s<n>8x,12,buy,Cabbage,2653,   1.95
w11*g<nd>2n,14,sell,Swede,2019,   2.15
u14*f<i>2c,12,buy,Marrow,561,   1.64
u20*a<l>3k,12,sell,Cabbage,2276,   2.01
h47*d<m>3u,13,sell,Turnip,793,   2.07
u39*q<r>8g,24,sell,Swede,1397,   1.93
p28*u<o>2a,22,buy,Marrow,2134,   1.52
j09*n<f>4o,5,sell,Potato,2298,   1.27
f73*t<c>8o,24,sell,Leek,2954,   1.60
s66*q<i>9u,16,sell,Squash,2736,   1.83
f93*r<qP4t,22,sell,Leek,2637,   1.90
a83*f<q>5z,19,sell,Parsnip,2937,   2.02
c13*j<a>0k,6,sell,Pea,880,   1.99
k5*d<w>8i,6,sell,Leek,2134,   1.62
p71*v<m>1g,6,sell,Swede,1278,   1.91
u63*a<a>1w,16,buy,Sprout,2909,   1.97
z75*w<g>8s,14,buy,Kale,2029,   1.63
x23*z<x>2k,6,sell,Kale,1173,   1.95
f07*i<s>3f,16,sell,Kale,783,   2.09
a57*j<i>7k,7,buy,Pea,2380,   1.88
e07*i<l>6v,14,buy,Onion,1434,   1.65
r87*r<y>9g,6,sell,Kale,1946,   1.81
z85*j<k>0v,10,sell,Potato,273,   1.82
e07*c<z>6e,8,buy,Cabbage,1126,   1.05
z68*u<d>3r,9,sell,Parsnip,1962,   2.03
n25*z<d>5t,10,sell,Swede,2353,   1.91
g44*c<x>6u,8,sell,Broccoli,109,   1.20
o87*x<g>7j,13,sell,Parsnip,1275,   2.05
k55*f<s>5q,8,sell,Marrow,2756,   2.07
i33*e<x>7b,10,buy,Potato,1134,   1.83
r72*q<e>8n,10,sell,Parsnip,2740,   2.10
v47*y<g>3p,24,sell,Pea,939,   1.91
r67*n<m>9j,23,sell,Squash,2786,   2.00
h06*s<g>6k,14,sell,Marrow,1448,   2.13
x66*q<f>7b,23,sell,Kale,2863,   2.00
l65*y<l>4i,7,sell,Mooli,121,   1.90
j54*k<w>9c,19,sell,Marrow,1976,   2.06
z72*u<s>Ve,19,sell,Sprout,1300,   1.87
i9E2*b<m>7n,5,sell,Marrow,703,   1.37
x20*a<n>9o,16,sell,Corn,2345,   2.13
i26*b<j>7t,9,sell,Yam,2534,   1.96
s81*c<i>7b,6,buy,Kale,2728,   1.86
k53*p<v>0v,17,buy,Marrow,2079,   1.87
e20*u<h>2n,5,sell,Potato,2311,   1.46
k67*h<w>4m,10,sell,Potato,251,   2.03
x14*t<l>2k,24,sell,Yam,644,   1.95
r18*z<f>0j,24,buy,Cabbage,1985,   2.05
i66*b<n>7c,9,buy,Sprout,2674,   1.32
y11*t<q>2a,21,buy,Potato,12,   1.05
k47*k<z>6w,8,buy,Pea,2782,   0.83
z23*i<k>4x,13,sell,Beetroot,2304,   1.75
g70*r<c>9k,12,sell,Carrot,508,   1.89
s29*o<t>7h,11,sell,Turnip,2790,   1.87
q66*i<w>7f,6,sell,Yam,1129,   2.06
t84*o<x>2v,19,sell,Mooli,492,   1.97
z72*i<u>9k,9,buy,Cabbage,2699,   1.96
d54*q<z>1y,7,sell,Beetroot,742,   2.14
k85*s<j>1s,10,sell,Cabbage,2992,   1.89
r14*w<e>6u,11,sell,Cabbage,1357,   2.06
m78*e<d>7j,24,sell,Leek,1865,   1.95
n11*l<t>6z,13,sell,Sprout,1603,   1.94
a83*p<t>5n,19,sell,Marrow,2191,   2.10
s59*j<a>5w,21,sell,Leek,2350,   2.02
j88*d<h>1i,7,sell,Carrot,1871,   1.88
e22*c<s>8y,10,sell,Okra,589,   1.87
o97*w<f>8d,5,sell,Sprout,2685,   1.87
g59*l<t>9n,11,buy,Okra,541,   1.69
c89*o<a>8s,15,sell,Marrow,1910,   1.94
r17*<y>7x,11,sell,Squash,1307,   1.86
m59*j<c>0w,18,sell,Leek,529,   1.80
n30*m<f>3c,23,sell,Carrot,374,   1.13
d25*x<h>3d,22,sell,Cabbage,2657,   2.02
y72*y<c>6y,13,sell,Marrow,2672,   1.63
g54*i<o>4z,13,sell,Corn,1770,   2.09
y77*u<h>1o,5,sell,Kale,2944,   1.97
o30*p<n>4i,23,buy,Onion,1582,   2.13
k34*k<u>7f,9,sell,Pea,2852,   2.02
v58*i<j>1l,6,sell,Marrow,789,   2.02
w89*g<r>1g,17,sell,Marrow,1018,   2.15
a16*o<x>9n,5,sell,Cabbage,534,   1.89
o46*t<k>3f,5,sell,Turnip,730,   2.05
v59*g<s>2t,24,sell,Pea,291,   1.91
m54*c<e>6j,20,buy,Potato,969,   2.03
g60*s<t>6c,17,buy,Kale,411,   2.01
g86*a<w>0e,11,sell,Okra,2092,   1.88
v71*v<v>3m,6,buy,Beetroot,1695,   1.27
k58*e<i>1q,7,sell,Potato,398,   1.99
f04*i<c>5y,17,sell,Turnip,2308,   2.04
e73*i<f>5a,16,sell,Parsnip,1039,   2.02
q93*v<i>6m,5,sell,Beetroot,2494,   1.63
y35*n<b>2w,16,buy,Parsnip,1294,   1.88
m69*z<u>1f,24,sell,Pea,2479,   1.88
g85*g<t>2w,10,sell,Potato,850,   2.04
l09*a<s>5v,6,sell,Kale,2590,   1.89
p944*y<m>9u,21,buy,Turnip,542,   1.84
v51*f<c>3m,21,sell,Sprout,795,   1.13
e93*s<x>3l,5,sell,Swede,345,   2.03
d42*u<j>2q,12,sell,Marrow,874,   1.83
c64*a<zM8x,11,sell,Swede,1653,   2.14
z23*l<t>1g,19,sell,Broccoli,2223,   1.04
j52*k<z>8v,5,sell,Potato,1995,   2.08
i95*h<l>8q,20,buy,Pea,1141,   0.97
m31*l<j>9m,6,sell,Sprout,2512,   1.91
m02*x<v>5h,24,buy,Parsnip,1779,   2.07
v88*e<f>9r,11,sell,Kale,1258,   0.88
s89*t<i>7z,12,sell,Kale,2874,   1.93
j46*j<k>5m,5,sell,Swede,2237,   1.29
y14*h<j>1j,9,sell,Turnip,2153,   2.05
l54*v<o>6t,23,sell,Corn,1871,   0.84
z65*u<d>4s,11,buy,Marrow,2313,   1.96
u71r<o>6y,22,buy,Leek,2644,   1.01
d92*e<j>5t,9,buy,Turnip,1357,   1.92
h46*k<k>2r,19,sell,Leek,1933,   0.77
p16*p<x>9t,5,sell,Sprout,2374,   1.93
x95*s<k>7t,22,sell,Pea,733,   1.97
o29*d<l>9i,5,sell,Swede,2563,   1.94
r27*n<c>0z,13,sell,Parsnip,552,   1.56
n13*k<p>4j,17,sell,Broccoli,2508,   0.86
h60*h<l>4x,10,buy,Parsnip,2169,   0.99
f97*k<h>2o,18,buy,Leek,2895,   1.95
a32*e<i>0a,19,buy,Kale,257,   1.82
g56*g<e>4v,10,sell,Turnip,1258,   1.26
d96*m<c>0w,11,buy,Cabbage,401,   1.94
x05*o<r>6c,9,buy,Kale,2140,   1.88
s72*x<l>1y,9,sell,Kale,2510,   1.14
g83*j<b>1e,22,sell,Sprout,2143,   1.83
j26*v<r>3f,5,sell,Yam,77,   1.83
m96*u<j>4u,10,sell,Kale,1117,   1.89
n06*w<q>7x,24,sell,Turnip,1744,   1.87
d85*e<t>0s,14,sell,Mooli,1763,   1.86
n001s<p>0f,18,sell,Kale,1026,   0.84
u52*q<q>1f,11,sell,Turnip,686,   1.96
n88*v<y>4h,5,sell,Marrow,1704,   1.92
c18*z<j>4s,7,buy,Marrow,1131,   1.73
h27*h<l>1z,11,sell,Potato,2702,   1.65
k25*l<f>9t,21,buy,Onion,85,   2.01
s83*x<f>2a,13,sell,Parsnip,1998,   1.90
x83*s<m>0x,16,sell,Sprout,1928,   1.95
r13*y<d>0m,6,buy,Swede,1862,   2.00
n38*w<y>2g,6,sell,Marrow,1573,   1.77
i15*m<w>5t,23,buy,Cabbage,976,   1.21
e94*l<b>5w,8,buy,Leek,2784,   1.92
m40*h<x>3z,10,sell,Marrow,2239,   1.82
l17*d<y>5f,16,sell,Swede,2643,   2.10
f20*z<g06s,9,sell,Potato,2703,   2.02
k03*y<>4b,11,sell,Mooli,144,   2.13
h27*z<v>3b,8,sell,Sprout,1094,   0.92
w04*w<g>2h,9,sell,Kale,1858,   1.20
v33*h<d>9p,8,sell,Squash,2672,   1.84
<99*y<i>3c,6,buy,Parsnip,2982,   1.57
m24*j<r>4r,12,sell,Yam,965,   1.96
f03*h<d>9h,7,sell,Sprout,2994,   1.93
c24*m<u>4h,23,sell,Corn,2564,   1.83
z74y<i>6n,9,sell,Pea,136,   1.80
t99*a<o>5q,16,buy,Kale,1722,   0.86
e31*f<x>9r,5,buy,Kale,2598,   2.05
b51*m<h>6v,20,buy,Okra,2061,   2.10
k51*}<h>8i,10,sell,Turnip,2099,   1.16
h71*h<p>8z,20,sell,Kale,947,   2.12
n22*q<x>6d,24,sell,Corn,159,   1.96
d52*q<r>6x,10,buy,Kale,1834,   1.78
i65*z<x>6y,24,buy,Swede,1445,   1.93
w22*7<c>2x,9,sell,Swede,2983,   1.85
d43*r<p>7m,7,buy,Swede,235,   1.91
j38*c<g>6a,19,buy,Marrow,891,   2.13
h73*e<i>0z,8,buy,Swede,1954,   2.11
v46*u<n>8l,11,buy,Kale,1964,   1.91
v80*o<k>1s,20,buy,Carrot,2211,   0.97
e34*e<u>0g,8,sell,Kale,2314,   1.92
g17*f<t>9n,21,sell,Cabbage,2072,   1.84
n76*h<v>0o,14,sell,Cabbage,874,   1.86
k82*z<d>2b,6,sell,Parsnip,566,   2.05
z97*r<l>9n,12,buy,Marrow,342,   1.85
a*3*t<f>8q,9,sell,Turnip,525,   1.86
w38*z<c>6w,7,sell,Kale,1843,   1.01
d89*h<v>6v,10,sell,Swede,2471,   2.09
s17*t<v>5c,12,sell,Marrow,2248,   1.92
a39*s<y>0f,16,sell,Turnip,1959,   0.80
j01*t<p>0x,8,buy,Yam,1462,   1.72
f67*r<r>9u,21,buy,Parsnip,909,   1.32
y62*t<a>8i,20,buy,Corn,518,   2.02
x36*s<g>1v,8,sell,Squash,613,   2.00
u06*s<e>9n,22,buy,Mooli,2262,   0.78
k49*l<s>4l,21,sell,Corn,2851,   2.06
i79*h<z>8s,9,buy,Turnip,2317,   1.90
o86*s<r>1f,17,sell,Carrot,2600,   1.92
d50*g<b>2t,13,sell,Cabbage,2665,   1.94
v44*w<l>3m,10,buy,Potato,1787,   1.91
b78*j<o>2n,21,sell,Beetroot,2054,   1.93
a54*v<p>1p,9,sell,Kale,2412,   2.10
i35*o<u>8w,16,buy,Yam,779,   1.93
f62*o<p>0w,17,buy,Okra,2488,   2.05
l88*f<w>1s,12,buy,Marrow,338,   2.00
x95*j<w>4j,6,sell,Turnip,600,   2.01
j01*x<r>2k,5,sell,Kale,2374,   2.09
n153*g<h>4f,16,sell,Carrot,1868,   1.95
b07z<p>2q,5,sell,Carrot,2406,   0.99
q20*s<s>!h,8,sell,Turnip,1693,   1.00
e98*d<z>6a,5,sell,Pea,2303,   2.12
e60*d<o>9j,5,buy,Swede,113,   1.97
q93*f<w>2o,14,sell,Swede,1366,   2.05
q18*s<r>9c,18,buy,Leek,61,   2.04
q96*r<r>4y,12,sell,Sprout,2892,   1.83
n50*m<z0q,24,sell,Pea,2997,   1.85
q02*w<q>3t,12,sell,Marrow,2152,   1.94
r79*p<m>0w,11,sell,Pea,2664,   2.03
v68*h<y>6o,23,sell,Swede,2612,   1.28
a55*a<e>2h,12,sell,Pea,899,   1.96
v50*g<h>0j,8,sell,Kale,20,   2.06
h83*q<c>9d,16,sell,Carrot,1682,   2.11
u76*u<j>Sx,16,buy,Potato,620,   1.87
o41*l<v>0t,13,buy,Parsnip,2654,   2.02
t11*d<o>0x,22,buy,Swede,1239,   1.81
i94*s<c>6h,12,sell,Parsnip,2663,   2.13
x68*k<p>5j,11,buy,Squash,2397,   2.13
v70*v<g>7n,12,sell,Parsnip,229,   2.12
d22*x<u>3u,20,sell,Kale,2098,   1.98
w45*z<h>8u,23,sell,Marrow,1249,   2.15
p55*p<v>2d,17,sell,Marrow,2290,   1.89
b07*s<j>7v,7,sell,Potato,2817,   1.93
c03*v<d>2g,23,sell,Broccoli,2996,   1.85
l49*q<a>9u,6,sell,Beetroot,859,   1.92
g54*f<n>9g,6,buy,Yam,1916,   2.07
n89*f<e>7d,22,sell,Kale,33,   1.89
x40*j<c>2y,9,sell,Marrow,2476,   2.02
y74*q<x>3m,6,buy,Swede,1116,   2.11
a72*a<c>0w,20,sell,Squash,2334,   1.99
k10*c<g>Wb,8,sell,Corn,2750,   1.82
j44*j<u>9m,13,sell,Cabbage,1392,   2.11
m38*v<r>6l,12,sell,Kale,204,   1.43
t66*o<t>5k,14,sell,Cabbage,2626,   1.90
u27*z<j>6o,18,sell,Corn,2600,   1.93
u58*w<o>8r,10,sell,Pea,2631,   1.93
f98*j<p>0g,6,buy,Broccoli,463,   1.97
a14*y<d>7t,21,sell,Okra,2713,   1.12
y45*n<x>3j,8,sell,Swede,1973,   1.88
j83*y<l>8b,5,buy,Swede,1939,   2.08
z34*i<s>3f,8,buy,Parsnip,2594,   2.07
t30*q<w>7e,13,sell,Pea,2151,   1.29
c23*h<p>6m,15,sell,Squash,1519,   2.13
m13*t<t>1l,10,sell,Parsnip,105,   2.05
i08*x<i>2n,10,sell,Leek,2543,   1.67
g20*q<k>2j,10,sell,Parsnip,459,   1.92
g46*d<z>8j,9,sell,Kale,1564,   1.83
h48*e<u>9c,7,sell,Beetroot,1329,   2.08
g86*w<z>4n,5,buy,Sprout,2430,   1.90
c79*+<l>5s,10,buy,Potato,793,   1.83
t83*z<v>3n,12,sell,Leek,2048,   1.67
e33*t<u>0c,20,sell,Cabbage,941,   2.14
v70*b<z>6r,11,sell,Marrow,2861,   1.76
s55*y<t>0i,10,sell,Cabbage,875,   1.66
t83*q<s>4y,7,buy,Pea,1440,   2.05
s97*t<a>4g,8,buy,Parsnip,2362,   1.97
r02*a<u>3k,17,sell,Squash,2215,   1.99
z80*d<s>7x,9,buy,Marrow,1821,   1.86
o28uk<h>2k,10,buy,Marrow,2384,   1.03
r57*c<u>4n,11,sell,Kale,347,   2.06
r25*r<o>1i,7,buy,Corn,2889,   1.96
b94*t<v>2j,20,buy,Sprout,1069,   1.88
q97*z<f>6g,7,sell,Swede,1332,   1.99
u90*k<o>3h,8,sell,Parsnip,1279,   1.46
h72*v<n>2s,23,sell,Marrow,2877,   1.71
g52*t<c>9f,24,sell,Turnip,2169,   1.98
z40*v<a>0p,14,sell,Marrow,1863,   0.87
t84*a<m>4a,5,sell,Kale,954,   2.03
l01*c<z>2c,7,buy,Mooli,2785,   1.41
br3*j<y>6h,10,sell,Marrow,682,   1.90
o25*t<x>0h,8,sell,Kale,2917,   1.98
a34*a<x>5u,24,buy,Carrot,2132,   2.12
d40*m<j>7s,5,buy,Swede,1322,   1.93
d57*g<c>0e,19,sell,Cabbage,2694,   1.95
k80*f<i>6g,10,sell,Turnip,2176,   1.94
r34*u<m>1r,11,buy,Leek,2706,   2.01
w05*t<w>9b,14,sell,Marrow,1406,   0.93
868*i<l>5x,15,sell,Marrow,1580,   2.08
e41*a<v>1b,14,buy,Yam,954,   2.14
b7T0*c<r>5z,13,sell,Marrow,2805,   1.18
j29*m<n>8r,7,sell,Carrot,959,   1.88
g62*p<z>0y,7,sell,Leek,2050,   2.01
i14*t<=f>3g,12,sell,Marrow,2935,   1.92
x54*p<f>2k,15,sell,Mooli,2085,   2.10
l00*s<l>7o,12,sell,Corn,887,   1.88
i87*i<x>8b,14,sell,Sprout,2404,   1.97
q61*h<j>7a,6,buy,Leek,1908,   1.99
a36*i<p>0u,16,sell,Turnip,602,   2.04
l472m<j>3w,8,sell,Cabbage,2240,   1.02
r88*f<c>4o,7,sell,Marrow,1655,   1.96
c33*r<l>7i,12,buy,Mooli,578,   1.24
f21*f<b>6a,9,buy,Parsnip,931,   0.98
v82*k<b>2j,11,sell,Marrow,2164,   0.98
m04*u<y>0r,8,buy,Cabbage,2323,   0.88
c70*u<q>4f,19,buy,Corn,2687,   2.05
e10*mDd>5z,16,sell,Swede,249,   1.62
f20*b<y>5m,12,buy,Turnip,2583,   2.04
x32xd<o>3h,7,sell,Kale,366,   1.85
a90*z<j>9q,6,sell,Potato,2497,   2.06
a67*f<r>z,5,sell,Kale,2295,   2.04
u79*k<l>3g,23,buy,Carrot,2203,   2.00
h94*a<z>0l,21,buy,Beetroot,2220,   2.06
o91*t<f>1y,6,sell,Sprout,1744,   1.10
t56*f<k>3s,19,sell,Leek,551,   2.02
t22*j<t>1v,20,sell,Mooli,2179,   1.04
p79*p<q>2g,23,buy,Okra,276,   2.14
q11*g<x>9r,12,sell,Cabbage,839,   2.04
b09*f<c>5k,6,buy,Turnip,2172,   1.49
q98*p<f>6s,23,sell,Marrow,2481,   1.88
g65*q<g>2z,7,buy,Parsnip,2035,   2.11
q12*c<f>0r,11,buy,Pea,888,   1.33
j99*t<e>2n,11,sell,Turnip,2073,   1.67
k32*e<nt>8b,8,buy,Kale,234,   1.97
y77*g<x>0m,24,sell,Swede,2788,   0.84
y92*t<a>0q,14,sell,Kale,2436,   1.85
k94*u<e>5c,14,sell,Pea,2942,   1.96
u56*g<p>6t,17,sell,Marrow,2762,   2.01
%90*q<s>8e,7,buy,Sprout,1610,   1.92
f23*z<m>6f,12,sell,Kale,2058,   1.90
n83*x<x>1v,12,buy,Potato,509,   2.02
gG0*z<k>3i,5,sell,Corn,1681,   1.89
b23*w<f>6u,9,sell,Okra,731,   1.83
m05*p<e>5n,24,sell,Okra,26,   1.64
m36*t<n>4n,12,buy,Okra,700,   2.15
h60*v<t>0g,13,sell,Sprout,895,   1.83
i86*r<w>9o,24,buy,Leek,2926,   1.07
d02*k<s>4a,23,sell,Broccoli,586,   1.77
g02*f<g>9m,13,sell,Leek,2084,   1.98
p85*h<p>6z,11,sell,Swede,2619,   1.96
w74hs<l>0i,15,sell,Kale,2422,   1.24
g31*s<f>5i,11,sell,Pea,1773,   0.82
m9*d<b>7u,9,sell,Marrow,135,   1.37
i52*g<f>9e,22,sell,Carrot,834,   2.10
v62*t<g>9d,19,sell,Kale,2199,   2.12
t16*w<z>1o,14,sell,Marrow,571,   2.11
b23*e<z>2z,10,buy,Parsnip,287,   1.99
d10*g<r>3i,6,sell,Leek,2240,   2.03
z59*u<u>3t,23,sell,Potato,2004,   2.07
d12*o<r>3h,8,buy,Sprout,128,   2.07
b87*h<s>8a,24,sell,Yam,2159,   1.97
n53*n<r>4k,8,sell,Potato,1596,   2.04
m12*c<l>7r,11,sell,Leek,1384,   0.86
w54*n<n>5x,5,sell,Swede,2713,   1.84
s25*g<x>6q,5,sell,Okra,1769,   2.05
y32*i<z>7q,24,sell,Potato,1230,   0.75
r86*t<j>2w,6,buy,Sprout,2311,   1.77
l63*z<f>1t,13,sell,Swede,1775,   1.87
t29*j<3>8k,8,sell,Okra,686,   2.04
q89*p<s>4k,7,sell,Kale,159,   1.91
Y72*p<v>0z,12,sell,Cabbage,897,   1.29
c48*c<6>5g,21,buy,Marrow,1313,   1.83
j90*j<v>9n,23,sell,Turnip,2045,   2.08
h39*u<r>1b,13,sell,Leek,312,   2.06
z12*s<c>6i,17,sell,Okra,478,   1.64
f45*Y<f>4x,14,sell,Kale,2730,   2.03
583*b<t>8s,21,sell,Okra,2286,   1.24
x48*o<g>0w,7,sell,Beetroot,1794,   1.43
n33*z<c>5h,17,buy,Pea,758,   2.01
n09*i<p>9x,13,sell,Parsnip,2701,   2.03
f64*u<>4h,11,sell,Kale,2385,   1.98
h93*q<f>2u,15,sell,Marrow,1279,   2.13
c05*p<u>0j,19,sell,Leek,795,   2.05
w00*u<h>2c,10,sell,Squash,1317,   1.97
i34*x<a>1u,11,sell,Turnip,2775,   1.30
u04*j<n>9y,10,buy,Leek,1164,   1.85
u59*t<b>0h,5,sell,Kale,1419,   2.03
k62*7i<z>3n,6,sell,Swede,1950,   2.11
q18*p<i>4c,10,sell,Parsnip,2474,   2.12
g63*m<i>4y,10,sell,Cabbage,86,   1.16
y04*k<o>8s,10,buy,Kale,2230,   2.03
u88*w<z>3u,7,sell,Potato,1104,   2.01
a40*c<pu8p,22,sell,Parsnip,2336,   1.99
u97*v<c>3k,12,sell,Yam,1847,   1.88
v41*k<q>9k,18,buy,Kale,1074,   1.88
d37*r<k>2u,6,sell,Sprout,2098,   1.99
b00*t<o>2z,21,buy,Kale,783,   1.35
c41*q<j>0j,9,sell,Kale,1484,   1.84
l57*m<t>5c,5,sell,Okra,2932,   1.98
p59*f<l>3t,21,buy,Sprout,651,   1.89
p24*j<w>7m,6,sell,Sprout,1357,   1.85
v65*w<e>1t,8,sell,Kale,1909,   1.88
f70*i<m>4q,10,sell,Sprout,1252,   2.00
c75*b<d>7z,8,sell,Okra,767,   1.88
b60*i<m>3r,5,sell,Potato,1652,   1.90
h05*r<l>0s,15,sell,Marrow,1158,   1.94
g74*b<u>8m,21,buy,Sprout,206,   2.03
l68*h<z>7m,6,sell,Turnip,53,   1.96
y584*e<j>5c,12,sell,Cabbage,1227,   1.72
i87*vYj>7f,11,buy,Marrow,2228,   2.03
x95*o<c>3x,17,sell,Kale,2993,   2.11
v37*k<b>3r,9,sell,Leek,2142,   2.04
z99*k<c>7s,13,sell,Cabbage,1881,   2.14
p33*j<g>3r,11,sell,Kale,1715,   1.84
d34*u<v>8c,17,sell,Kale,1428,   1.84
b77*f<n>6n,12,buy,Parsnip,2000,   2.02
d73*m<k>6n,5,sell,Cabbage,199,   2.06
r86*g<j>1o,10,sell,Parsnip,524,   1.41
e83*x<m>7p,11,sell,Kale,816,   2.04
d79*g<p>0e,9,sell,Pea,2087,   1.45
t24*e<l>4c,8,sell,Swede,2661,   1.87
a92*u<g>1u,10,sell,Okra,2803,   2.03
s63*e<a>4s,23,sell,Onion,1042,   1.93
v00*j<u>6m,13,sell,Sprout,41,   2.08
c56*x<il>5e,14,sell,Leek,2011,   1.61
i99*v<a>4y,17,sell,Marrow,1300,   0.89
o70*c<i>9i,17,sell,Marrow,1809,   1.94
w07*j<l>8r,11,sell,Leek,2016,   1.68
i09*f<v>1m,8,sell,Pea,1759,   2.00
n58*d<i>2i,10,sell,Pea,2781,   1.90
l08*r<q>5v,16,sell,Cabbage,1332,   2.03
b81*d<x>0q,17,sell,Cabbage,2868,   1.48
a87*j<h>7l,7,sell,Corn,2736,   1.86
s49*v<o>{d,9,sell,Okra,2158,   1.85
r57*p<l>8u,12,sell,Potato,2801,   1.82
r64*w<a>1m,16,sell,Parsnip,2935,   1.84
k16*s<x>4x,8,sell,Cabbage,2171,   1.95
j90*t<j>9x,20,sell,Kale,2544,   1.94
y98*v<r>5w,9,buy,Pea,1904,   2.03
h90*f<u>2j,16,sell,Leek,2305,   2.07
j88*x<q>5s,7,buy,Corn,1510,   1.85
g41*l<q>0g,15,buy,Corn,913,   2.11
l18*bho>2z,15,buy,Potato,2831,   1.82
m96*x<r>3r,8,buy,Kale,1833,   1.60
u61*s<n>8y,8,sell,Leek,2892,   1.87
l16*a<g>2l,11,sell,Yam,1858,   2.01
q55*g<l>1s,17,sell,Mooli,2816,   1.89
d55*e<l>4j,10,sell,Carrot,959,   1.86
d34*q<k>1a,23,sell,Cabbage,2546,   1.87
v7*h<q>1i,10,sell,Kale,504,   2.05
d89*o<y>7b,7,sell,Marrow,705,   1.85
h801k<a>3w,15,sell,Marrow,1505,   2.00
n66*v<j>0z,24,buy,Kale,1737,   1.88
j21*t<f>1l,15,sell,Potato,1151,   0.86
d22*j<w>0s,11,buy,Sprout,2916,   1.85
w57*f<e>5k,8,sell,Kale,2247,   1.83
y35*m<c>9h,15,buy,Sprout,2185,   1.11
d55*h<q>1d,20,sell,Pea,1750,   1.77
p87*o<e>4q,7,sell,Sprout,2272,   1.77
l39*u<w>3a,7,sell,Okra,2137,   1.89
x99*j<e>0t,10,sell,Kale,495,   1.98
p77*l<m>6z,24,buy,Broccoli,532,   1.97
u87*n<p>7k,8,buy,Squash,1352,   2.11
t73*j<m>5c,6,buy,Beetroot,2076,   2.13
x01*q<j>6p,7,sell,Turnip,1170,   1.88
y56*y<e>7t,10,buy,Turnip,2569,   1.61
d90*p<l>5o,19,buy,Sprout,2326,   1.00
f23*i<b>6f,15,sell,Sprout,2823,   1.95
d54*l<g>0h,23,sell,Sprout,615,   1.91
p61*h<v>8l,6,buy,Onion,305,   1.51
l59*g<s>3a,7,buy,Parsnip,2279,   1.92
p02*u<b>7p,19,buy,Marrow,830,   1.05
n49*u<w>8l,10,sell,Pea,1518,   2.09
y60*t<p>4n,10,sell,Beetroot,2015,   1.89
k67*o<l>1a,16,buy,Cabbage,1557,   1.95
v29*p<m>7r,16,sell,Cabbage,2931,   2.13
q58*k<z>8a,8,sell,Potato,2116,   1.84
x85*k<o>g,23,sell,Swede,963,   1.98
h98*w<d>4z,7,sell,Swede,2968,   2.11
